,Tweets,ID
0,"The global Covid-19 death toll hits a new grim milestone, surpassing 6 million, as the World Health Organization's chief urges people to stay cautious and governments to ""stay the course"" https://t.co/33xO0KNBR9",1500857065325137921
1,"The White House unveiled a plan to move the nation to a new stage of the pandemic where Covid-19 ""does not disrupt our daily lives"" https://t.co/oksu37aIKX",1499052948994854917
2,"Britain's Queen Elizabeth II cancels virtual engagements for today as she still has ""mild"" Covid-19 symptoms, Buckingham Palace says https://t.co/iqs1kqhqS8",1496078583596466176
3,"Britain's Queen Elizabeth tests positive for Covid-19 and is experiencing mild cold-like symptoms, Buckingham Palace announces https://t.co/X4akYIusyI",1495367543569190916
4,US Surgeon General Dr. Vivek Murthy announced Friday that he has tested positive for Covid-19 https://t.co/T7ZaHkAEuO,1494718332636962823
5,Canadian Prime Minister Justin Trudeau says the federal government is invoking the Emergencies Act “to supplement provincial and territorial capacity to address the blockages and occupations” connected to protests over Covid-19 health measures. https://t.co/jmethaH5Dl,1493348061644533765
6,"JUST IN: Police say arrests have been made and vehicles towed away following protests at a key US-Canada border crossing over Covid-19 mandates
https://t.co/Zw1qJsAk51",1492862789408469003
7,The FDA is postponing an advisory panel meeting on authorizing Pfizer’s Covid-19 vaccine in children under 5. https://t.co/tDhsRbr5Dj,1492214232489897984
8,"The US-Canada border crossing at Emerson, Manitoba, and Pembina, North Dakota, has been shut down by protesters demonstrating against Covid-19 mandates, according to the Royal Canadian Mounted Police in Manitoba. 

Follow live updates. https://t.co/JCYIGtc652",1491822018869837837
9,"For the first time in more than a month, there are fewer than 100,000 hospital beds in use for patients with Covid-19 nationwide, according to data from the US Department of Health and Human Services. https://t.co/PzBkXGhkZ8",1491517320669405189
